Id;OznKoord;NazKlase;Bio_1;Bio_2;Bio_3;Bio_4;Bio_5;Bio_6;Bio_7;Bio_8;Bio_9;Bio_10;Bio_11;Bio_12;Bio_13;Bio_14;Bio_15;Bio_16;Bio_17;Bio_18;Bio_19;EKSPOZICIJ;NDM__M_;NAGIB_TERE
10367;XY.127061;Fraxinus ornus L.;13,1;6,7;27;63,03;26,6;2,2;24,4;13,9;5,8;21,3;5,3;1191;137;76;19;381;253;261;284;332;253;2
10368;XY.127066;Fraxinus ornus L.;9,2;7,2;28;64,11;23,1;-2,2;25,3;10;1,7;17,4;1,1;1324;146;88;17;412;269;315;299;70;816;4
10369;XY.127084;Fraxinus ornus L.;8,9;7,2;28;63,98;22,9;-2,4;25,3;9,8;1,5;17,2;0,9;1322;145;87;16;410;267;318;295;190;845;2
10370;XY.127127;Fraxinus ornus L.;10,3;7,1;28;63,73;24,2;-0,9;25,1;11,1;2,9;18,6;2,4;1311;146;88;17;412;272;301;304;69;631;2
10371;XY.127136;Fraxinus ornus L.;13,1;6,7;27;63,03;26,6;2,2;24,4;13,9;5,8;21,3;5,3;1191;137;76;19;381;253;261;284;260;271;1
10372;XY.127144;Fraxinus ornus L.;9,5;7,1;28;63,75;23,3;-1,8;25,1;10,4;2,1;17,8;1,5;1308;145;87;17;409;267;308;296;9;663;6
10373;XY.127149;Fraxinus ornus L.;9,7;7,1;28;63,71;23,4;-1,6;25;10,6;2,2;17,9;1,7;1302;144;86;17;407;265;308;293;52;847;9
10374;XY.127181;Fraxinus ornus L.;9,9;7,2;28;63,91;23,8;-1,3;25,1;10,8;2,5;18,2;2;1316;146;88;17;412;270;308;301;238;680;0
10375;XY.127183;Fraxinus ornus L.;13,1;6,8;27;62,87;26,6;2,2;24,4;14;5,8;21,3;5,4;1203;138;76;19;385;257;262;289;280;339;0
10376;XY.127197;Fraxinus ornus L.;10,2;7,1;28;63,66;24,1;-1;25,1;11;2,8;18,5;2,3;1306;145;87;17;410;269;303;300;304;623;0
10377;XY.127200;Fraxinus ornus L.;9,5;7,2;28;64,04;23,5;-1,8;25,3;10,3;2,1;17,8;1,5;1323;146;88;17;414;270;311;301;120;728;1
10378;XY.127206;Fraxinus ornus L.;9,9;7,2;28;63,91;23,8;-1,3;25,1;10,8;2,5;18,2;2;1316;146;88;17;412;270;308;301;238;680;0
10379;XY.127220;Fraxinus ornus L.;9,2;7,1;28;63,7;23;-2;25;10,1;1,8;17,4;1,2;1309;145;87;17;408;267;310;295;6;878;8
10380;XY.127232;Fraxinus ornus L.;10;7,1;28;63,78;23,9;-1,3;25,2;10,9;2,6;18,3;2,1;1311;146;88;17;412;271;303;302;20;832;13
10381;XY.127239;Fraxinus ornus L.;10,3;7,1;28;63,73;24,2;-0,9;25,1;11,1;2,9;18,6;2,4;1311;146;88;17;412;272;301;304;69;631;2
10382;XY.127259;Fraxinus ornus L.;10,3;7,1;28;63,73;24,2;-0,9;25,1;11,1;2,9;18,6;2,4;1311;146;88;17;412;272;301;304;69;631;2
10383;XY.127265;Fraxinus ornus L.;9,7;7,2;28;63,75;23,6;-1,6;25,2;10,5;2,3;18;1,7;1317;146;88;17;412;270;309;300;223;651;3
10384;XY.127269;Fraxinus ornus L.;10;7,1;28;63,78;23,9;-1,3;25,2;10,9;2,6;18,3;2,1;1311;146;88;17;412;271;303;302;20;832;13
10385;XY.127277;Fraxinus ornus L.;10,3;7,2;28;63,85;24,2;-1;25,2;11,1;2,9;18,6;2,3;1310;146;87;17;412;269;304;301;167;717;0
10386;XY.127282;Fraxinus ornus L.;10,2;7,1;28;63,66;24,1;-1;25,1;11;2,8;18,5;2,3;1306;145;87;17;410;269;303;300;25;679;4
10387;XY.111272;Fagus sylvatica L.;10,5;9,5;31;74,33;26,5;-3,9;30,4;19,7;2,1;19,7;0,6;924;103;46;23;293;150;293;166;271;186;0
10388;XY.111281;Fagus sylvatica L.;10,1;9,4;31;74,48;26,2;-4,1;30,3;19,4;1,7;19,4;0,3;948;105;48;23;299;156;299;173;213;236;0
10389;XY.125883;Fagus sylvatica L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;164;751;3
10390;XY.125892;Fagus sylvatica L.;10,5;7,1;28;63,78;24,4;-0,7;25,1;11,4;3,1;18,8;2,6;1299;144;87;17;408;268;301;299;46;658;7
10391;XY.125907;Fagus sylvatica L.;10,6;7,1;28;63,78;24,5;-0,6;25,1;11,5;3,2;18,9;2,7;1301;145;87;17;409;269;300;300;168;634;1
10392;XY.125910;Fagus sylvatica L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;122;646;3
10393;XY.125931;Fagus sylvatica L.;9,7;7,1;28;63,87;23,6;-1,6;25,2;10,5;2,3;18;1,7;1309;145;87;17;409;267;309;296;218;696;2
10394;XY.125935;Fagus sylvatica L.;10,6;7,1;28;63,78;24,5;-0,6;25,1;11,5;3,2;18,9;2,7;1301;145;87;17;409;269;300;300;168;634;1
10395;XY.125946;Fagus sylvatica L.;10,5;7,1;28;63,78;24,4;-0,7;25,1;11,4;3,1;18,8;2,6;1299;144;87;17;408;268;301;299;46;658;7
10396;XY.125954;Fagus sylvatica L.;10,6;7,1;28;63,78;24,5;-0,6;25,1;11,5;3,2;18,9;2,7;1301;145;87;17;409;269;300;300;168;634;1
10397;XY.125955;Fagus sylvatica L.;10,5;7,1;28;63,78;24,4;-0,7;25,1;11,4;3,1;18,8;2,6;1299;144;87;17;408;268;301;299;46;658;7
10399;XY.126007;Fagus sylvatica L.;9,7;7,1;28;63,87;23,6;-1,6;25,2;10,5;2,3;18;1,7;1309;145;87;17;409;267;309;296;218;696;2
10400;XY.126013;Fagus sylvatica L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;122;646;3
10401;XY.126032;Fagus sylvatica L.;9,8;7,1;28;63,74;23,6;-1,5;25,1;10,6;2,4;18,1;1,8;1300;144;86;17;406;264;308;293;108;654;4
10402;XY.126067;Fagus sylvatica L.;9,7;7,1;28;63,71;23,4;-1,6;25;10,6;2,2;17,9;1,7;1302;144;86;17;407;265;308;293;46;658;7
10403;XY.126070;Fagus sylvatica L.;10,6;7,1;28;63,78;24,5;-0,6;25,1;11,5;3,2;18,9;2,7;1301;145;87;17;409;269;300;300;168;634;1
10404;XY.126077;Fagus sylvatica L.;10,3;7,2;28;63,85;24,2;-1;25,2;11,1;2,9;18,6;2,3;1310;146;87;17;412;269;304;301;167;717;0
10405;XY.126087;Fagus sylvatica L.;10,5;7,1;28;63,78;24,4;-0,7;25,1;11,4;3,1;18,8;2,6;1299;144;87;17;408;268;301;299;122;646;3
10406;XY.126104;Fagus sylvatica L.;10,3;7,2;28;63,85;24,2;-1;25,2;11,1;2,9;18,6;2,3;1310;146;87;17;412;269;304;301;167;717;0
10407;XY.126110;Fagus sylvatica L.;10,5;7,1;28;63,78;24,4;-0,7;25,1;11,4;3,1;18,8;2,6;1299;144;87;17;408;268;301;299;46;658;7
10408;XY.126116;Fagus sylvatica L.;10,5;7,1;28;63,78;24,4;-0,7;25,1;11,4;3,1;18,8;2,6;1299;144;87;17;408;268;301;299;122;646;3
10409;XY.126127;Fagus sylvatica L.;9,7;7,1;28;63,71;23,4;-1,6;25;10,6;2,2;17,9;1,7;1302;144;86;17;407;265;308;293;52;847;9
10410;XY.126133;Fagus sylvatica L.;10,3;7,2;28;63,85;24,2;-1;25,2;11,1;2,9;18,6;2,3;1310;146;87;17;412;269;304;301;167;717;0
10411;XY.126138;Fagus sylvatica L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;122;646;3
