IdNalazistaOp;OpisNalazista;OznKoord;IdOpazanja;NazKlase;OznKoord;HTRS96_X;HTRS96_Y;Nesigurnost
298586;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116812;15732;Carpinus betulus L.;XY.116812;471664.3050;5114971.9108;25.0000
298592;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116813;15733;Carpinus betulus L.;XY.116813;471165.9428;5114772.9656;25.0000
298652;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116836;15756;Carpinus betulus L.;XY.116836;472464.6091;5114478.2461;25.0000
298668;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116842;15762;Carpinus betulus L.;XY.116842;472164.2304;5114678.0048;25.0000
298742;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116873;15793;Carpinus betulus L.;XY.116873;472967.7582;5110673.4509;25.0000
298776;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116890;15810;Carpinus betulus L.;XY.116890;471758.4430;5113861.8866;25.0000
298778;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116890;15810;Carpinus betulus L.;XY.116890;471758.4430;5113861.8866;25.0000
298785;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116894;15814;Carpinus betulus L.;XY.116894;472063.8729;5113876.5007;25.0000
298812;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116903;15823;Carpinus betulus L.;XY.116903;471460.9482;5114073.2773;25.0000
298823;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116908;15828;Carpinus betulus L.;XY.116908;470562.1213;5114371.3545;25.0000
298833;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116911;15831;Carpinus betulus L.;XY.116911;470658.0301;5114467.4071;25.0000
298912;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116939;15859;Carpinus betulus L.;XY.116939;472359.2177;5114373.3814;25.0000
298987;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116961;15881;Carpinus betulus L.;XY.116961;472464.3892;5115273.7497;25.0000
299017;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116970;15890;Carpinus betulus L.;XY.116970;472367.0678;5115271.4696;25.0000
299090;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116999;15919;Carpinus betulus L.;XY.116999;474664.5001;5110471.7121;25.0000
299102;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117003;15923;Carpinus betulus L.;XY.117003;474363.1303;5110675.4107;25.0000
299106;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117004;15924;Carpinus betulus L.;XY.117004;474672.4249;5110564.6763;25.0000
299114;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117007;15927;Carpinus betulus L.;XY.117007;474666.5773;5110166.8277;25.0000
299166;Degačica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117027;15947;Carpinus betulus L.;XY.117027;472660.6130;5113372.8020;25.0000
299168;Degačica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117028;15948;Carpinus betulus L.;XY.117028;472857.7151;5113069.5450;25.0000
299240;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117051;15971;Carpinus betulus L.;XY.117051;472069.5654;5114174.7263;25.0000
299336;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117082;16000;Carpinus betulus L.;XY.117082;472064.2702;5114470.7787;25.0000
299378;Dragovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117101;16019;Carpinus betulus L.;XY.117101;410166.0227;5043082.5619;25.0000
299381;Dragovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117102;16020;Carpinus betulus L.;XY.117102;410216.0138;5043253.6019;25.0000
299383;Dragovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117103;16021;Carpinus betulus L.;XY.117103;410253.9473;5043259.3276;25.0000
299440;Gradinovac, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117129;16047;Carpinus betulus L.;XY.117129;407643.7034;5045595.8337;25.0000
299463;Juranska Draga, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117137;16055;Carpinus betulus L.;XY.117137;411255.4083;5041133.5176;25.0000
299468;Juranska Draga, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117141;16059;Carpinus betulus L.;XY.117141;411156.8565;5040955.9187;25.0000
